#    ncycle     time           dt             m1             m2             x              y              z              vx             vy             vz             agas1x          agas1y          agas1z          agas2x          agas2y          agas2z          xcom            ycom            zcom            vxcom            vycom            vzcom            lpz             lgz             ldoz            Eorb            mb              mu              
                 883        3.203406e-01        3.654777e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        1.419325e-16        3.333817e-07        7.658480e-02       -8.687645e-16        1.123402e-01        6.840894e-02       -3.410608e-12       -3.225642e-02        2.919933e-05        1.460358e-05
                 910        3.302096e-01        3.655603e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -1.987055e-16        3.333817e-07        7.658480e-02       -8.913850e-16        1.123402e-01        6.840892e-02       -3.483228e-12       -3.225642e-02        3.176810e-05        1.460358e-05
                 937        3.400808e-01        3.656425e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        3.784867e-17        0.000000e+00        3.333817e-07        7.658480e-02       -9.018328e-16        1.123402e-01        6.840890e-02       -3.554365e-12       -3.225642e-02        3.456820e-05        1.460358e-05
                 965        3.503199e-01        3.657274e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        5.046489e-17        1.640109e-16        3.333817e-07        7.658480e-02       -9.263260e-16        1.123402e-01        6.840889e-02       -3.626602e-12       -3.225642e-02        3.772775e-05        1.460358e-05
                 992        3.601956e-01        3.658089e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -8.326708e-16        3.333817e-07        7.658480e-02       -9.425644e-16        1.123402e-01        6.840887e-02       -3.694808e-12       -3.225642e-02        4.103186e-05        1.460358e-05
                1019        3.700735e-01        3.658898e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        3.784867e-17       -3.879489e-16        3.333817e-07        7.658480e-02       -9.576941e-16        1.123402e-01        6.840885e-02       -3.761619e-12       -3.225642e-02        4.459904e-05        1.460358e-05
                1047        3.803195e-01        3.659729e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -9.714492e-16        3.333817e-07        7.658480e-02       -9.685854e-16        1.123402e-01        6.840884e-02       -3.829462e-12       -3.225642e-02        4.858674e-05        1.460358e-05
                1074        3.902018e-01        3.660522e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        2.523245e-17       -9.336005e-16        3.333817e-07        7.658480e-02       -9.864009e-16        1.123402e-01        6.840882e-02       -3.893518e-12       -3.225642e-02        5.272020e-05        1.460358e-05
                1101        4.000863e-01        3.661305e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -8.484410e-16        3.333817e-07        7.658480e-02       -9.931033e-16        1.123402e-01        6.840880e-02       -3.956262e-12       -3.225642e-02        5.714642e-05        1.460358e-05
                1129        4.103390e-01        3.662107e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        1.450866e-16        3.333817e-07        7.658480e-02       -1.011559e-15        1.123402e-01        6.840879e-02       -4.019974e-12       -3.225642e-02        6.205550e-05        1.460358e-05
                1156        4.202277e-01        3.662870e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -3.122515e-16        3.333817e-07        7.658480e-02       -1.028586e-15        1.123402e-01        6.840877e-02       -4.080127e-12       -3.225642e-02        6.710645e-05        1.460358e-05
                1183        4.301184e-01        3.663621e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        5.046489e-17       -1.734731e-16        3.333817e-07        7.658480e-02       -1.033342e-15        1.123402e-01        6.840875e-02       -4.139047e-12       -3.225642e-02        7.247885e-05        1.460358e-05
                1210        4.400112e-01        3.664361e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -4.857246e-16        3.333817e-07        7.658480e-02       -1.039404e-15        1.123402e-01        6.840874e-02       -4.196759e-12       -3.225642e-02        7.818276e-05        1.460358e-05
